DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-12-31,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,2.5
1987-12-31,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,3
1987-12-31,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,17
1987-12-31,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,0.5
1987-12-31,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,8
1987-12-31,GUAM,GUAM,NINTH CIRCUIT,0.5
1987-12-31,HAWAII,HAWAII,NINTH CIRCUIT,0
1987-12-31,IDAHO,IDAHO,NINTH CIRCUIT,19.5
1987-12-31,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,20
1987-12-31,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,7
1987-12-31,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,18
1987-12-31,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,8.5
1987-12-31,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,22
1987-12-31,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,16.5
1987-12-31,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,9
1987-12-31,KANSAS,KANSAS,TENTH CIRCUIT,31.5
1987-12-31,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,3
1987-12-31,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,14
1987-12-31,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,0.5
1987-12-31,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,3.5
1987-12-31,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,38.5
1987-12-31,MAINE,MAINE,FIRST CIRCUIT,1
1987-12-31,MARYLAND,MARYLAND,FOURTH CIRCUIT,3
1987-12-31,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,0
1987-12-31,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,13.5
1987-12-31,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,10
