STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,3,12/31/01,2001-12-31
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,2,12/31/01,2001-12-31
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,12/31/01,2001-12-31
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,1,12/31/01,2001-12-31
,TOTAL,,SEVENTH CIRCUIT,44,12/31/01,2001-12-31
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,1,12/31/01,2001-12-31
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,16,12/31/01,2001-12-31
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,9,12/31/01,2001-12-31
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,2,12/31/01,2001-12-31
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,3,12/31/01,2001-12-31
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,1,12/31/01,2001-12-31
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,12,12/31/01,2001-12-31
,TOTAL,,EIGHTH CIRCUIT,68,12/31/01,2001-12-31
